ㄱㅏㄱㅓㅣ 가게
ㄱㅏㄱㅕㄱ 가격
ㄱㅏㄴㅏㄴ 가난
ㄱㅏㄴㅡㅇ 가능
ㄱㅏㄷㅡㄱ 가득
ㄱㅏㄹㅕㅇ 가령
ㄱㅏㅁㅏㄴ 가만
ㄱㅏㅁㅜㅁ 가뭄
ㄱㅏㅂㅏㅇ 가방
ㄱㅏㅅㅏㅇ 가상
ㄱㅏㅅㅡㅁ 가슴
ㄱㅏㅇㅜㅣ 가위
ㄱㅏㅇㅡㄹ 가을
ㄱㅏㅇㅣㅂ 가입
ㄱㅏㅈㅏㅇ 가장
ㄱㅏㅈㅓㅇ 가정
ㄱㅏㅈㅗㄱ 가족
ㄱㅏㅈㅜㄱ 가죽
ㄱㅏㅈㅈㅏ 가짜
ㄱㅏㄱㄱㅣ 각기
ㄱㅏㄱㅇㅗ 각오
ㄱㅏㄱㅈㅏ 각자
ㄱㅏㄴㅂㅜ 간부
ㄱㅏㄴㅎㅗ 간호
ㄱㅏㄹㄷㅏ 갈다
ㄱㅏㄹㅂㅣ 갈비
ㄱㅏㅁㄱㅣ 감기
ㄱㅏㅁㄷㅏ 감다
ㄱㅏㅁㅅㅏ 감사
ㄱㅏㅁㅅㅗ 감소
ㄱㅏㅁㅈㅏ 감자
ㄱㅏㅁㅎㅣ 감히
ㄱㅏㅇㄷㅗ 강도
ㄱㅏㅇㅅㅏ 강사
ㄱㅏㅇㅈㅗ 강조
ㄱㅏㅈㄷㅏ 갖다
ㄱㅏㅌㄷㅏ 같다
ㄱㅏㅌㅇㅣ 같이
ㄱㅏㅍㄷㅏ 갚다
ㄱㅏㅣㄷㅏ 개다
ㄱㅏㅣㅁㅣ 개미
ㄱㅓㄷㅡㅂ 거듭
ㄱㅓㅅㅣㄹ 거실
ㄱㅓㅇㅜㄹ 거울
ㄱㅓㅇㅡㅣ 거의
ㄱㅓㅈㅣㅅ 거짓
ㄱㅓㅍㅜㅁ 거품
ㄱㅓㄴㄴㅓ 건너
ㄱㅓㄴㅈㅗ 건조
ㄱㅓㄷㄱㅣ 걷기
ㄱㅓㄷㄷㅏ 걷다
ㄱㅓㄹㄷㅏ 걸다
ㄱㅓㅁㄷㅏ 검다
ㄱㅓㅁㅅㅏ 검사
ㄱㅓㅁㅌㅗ 검토
ㄱㅕㅇㅜㄹ 겨울
ㄱㅕㄹㅋㅗ 결코
ㄱㅕㅇㄱㅗ 경고
ㄱㅕㅇㄱㅣ 경기
ㄱㅕㅇㅂㅣ 경비
ㄱㅕㅇㅇㅜ 경우
ㄱㅕㅇㅈㅜ 경주
ㄱㅕㅇㅊㅣ 경치
ㄱㅗㄱㅏㅣ 고개
ㄱㅗㄱㅜㅇ 고궁
ㄱㅗㄱㅡㅂ 고급
ㄱㅗㅁㅣㄴ 고민
ㄱㅗㅅㅗㄱ 고속
ㄱㅗㅈㅏㄱ 고작
ㄱㅗㅈㅏㅇ 고장
ㄱㅗㅈㅓㄴ 고전
ㄱㅗㅈㅣㅂ 고집
ㄱㅗㅌㅗㅇ 고통
ㄱㅗㅎㅏㅁ 고함
ㄱㅗㅎㅑㅇ 고향
ㄱㅗㄷㄷㅏ 곧다
ㄱㅗㄹㅊㅣ 골치
ㄱㅗㄹㅍㅡ 골프
ㄱㅗㅂㄷㅏ 곱다
ㄱㅗㅇㄱㅣ 공기
ㄱㅗㅇㅂㅜ 공부
ㄱㅗㅇㅅㅏ 공사
ㄱㅗㅇㅈㅜ 공주
ㄱㅗㅇㅍㅗ 공포
ㄱㅗㅏㄱㅓ 과거
ㄱㅗㅏㅈㅏ 과자
ㄱㅛㄴㅏㅣ 교내
ㄱㅛㄷㅏㅣ 교대
ㄱㅛㅁㅜㄴ 교문
ㄱㅛㅂㅗㄱ 교복
ㄱㅛㅅㅣㄹ 교실
ㄱㅛㅇㅑㅇ 교양
ㄱㅛㅇㅗㅣ 교외
ㄱㅛㅇㅠㄱ 교육
ㄱㅛㅈㅏㅇ 교장
ㄱㅛㅈㅏㅣ 교재
ㄱㅛㅈㅣㄱ 교직
ㄱㅛㅊㅓㅣ 교체
ㄱㅛㅌㅗㅇ 교통
ㄱㅛㅎㅗㅣ 교회
ㄱㅛㅎㅜㄴ 교훈
ㄱㅜㄱㅕㅇ 구경
ㄱㅜㄹㅡㅁ 구름
ㄱㅜㅁㅓㅇ 구멍
ㄱㅜㅂㅕㄹ 구별
ㄱㅜㅂㅜㄴ 구분
ㄱㅜㅅㅓㄱ 구석
ㄱㅜㅅㅓㅇ 구성
ㄱㅜㅅㅗㄱ 구속
ㄱㅜㅅㅣㅂ 구십
ㄱㅜㅇㅕㄱ 구역
ㄱㅜㅇㅣㅂ 구입
ㄱㅜㅊㅓㅇ 구청
ㄱㅜㄱㄱㅏ 국가
ㄱㅜㄱㄱㅣ 국기
ㄱㅜㄱㅅㅏ 국사
ㄱㅜㄱㅅㅜ 국수
ㄱㅜㄱㅇㅓ 국어
ㄱㅜㄴㅅㅏ 군사
ㄱㅜㄷㄷㅏ 굳다
ㄱㅜㄷㅇㅣ 굳이
ㄱㅜㅂㄷㅏ 굽다
ㄱㅜㅣㄱㅏ 귀가
ㄱㅠㅈㅓㅇ 규정
ㄱㅠㅊㅣㄱ 규칙
ㄱㅡㄱㅏㄴ 그간
ㄱㅡㄱㅓㅅ 그것
ㄱㅡㄱㅗㅅ 그곳
ㄱㅡㄴㅏㄹ 그날
ㄱㅡㄴㅑㅇ 그냥
ㄱㅡㄴㅗㅁ 그놈
ㄱㅡㄴㅡㄹ 그늘
ㄱㅡㄷㅏㅣ 그대
ㄱㅡㄹㅏㅣ 그래
ㄱㅡㄹㅓㄴ 그런
ㄱㅡㄹㅓㅁ 그럼
ㄱㅡㄹㅜㅂ 그룹
ㄱㅡㄹㅡㅅ 그릇
ㄱㅡㄹㅣㅁ 그림
ㄱㅡㅁㅏㄴ 그만
ㄱㅡㅂㅜㄴ 그분
ㄱㅡㅈㅓㄴ 그전
